Person 1:
[[1054.23, 536.211], [998.271, 527.287]],
[[1054.26, 536.226], [998.123, 527.187]],
[[1186.53, 759.82], [0, 0]],
[[1186.72, 745.209], [0, 0]],
[[1051.33, 536.133], [986.518, 530.172]],
[[1063.02, 530.349], [992.38, 530.316]],
[[1068.88, 530.349], [995.293, 530.285]],
[[1071.88, 530.174], [995.258, 530.28]],
[[1077.68, 524.302], [995.256, 530.324]],
[[1074.81, 506.815], [995.203, 530.303]],
[[1071.9, 503.778], [992.423, 530.29]],
[[1071.75, 503.845], [995.26, 530.259]],
[[1068.91, 506.828], [998.26, 527.368]],
[[1068.92, 506.727], [1007.07, 527.198]],
[[1071.74, 503.927], [1021.77, 521.369]],
[[1071.75, 503.717], [1033.59, 512.665]],
[[1071.75, 503.619], [1042.33, 506.849]],
